date,icao,weather_delay
2015-03-11 12:50:00+00:00,KBNA,51.0
2015-03-20 12:50:00+00:00,KBNA,22.0
2015-03-20 13:20:00+00:00,KBNA,156.0
2015-03-21 23:07:00+00:00,KBNA,9.0
2015-03-23 01:05:00+00:00,KBNA,47.0
2015-03-25 19:11:00+00:00,KBNA,16.0
2015-03-26 15:05:00+00:00,KBNA,17.0
2015-03-26 19:11:00+00:00,KBNA,1.0
2015-03-26 21:50:00+00:00,KBNA,102.0
2015-03-27 21:50:00+00:00,KBNA,16.0
2015-04-02 21:55:00+00:00,KBNA,16.0
2015-04-02 22:05:00+00:00,KBNA,14.0
2015-04-02 23:10:00+00:00,KBNA,3.0
2015-04-03 12:50:00+00:00,KBNA,88.0
2015-04-03 21:50:00+00:00,KBNA,45.0
2015-04-03 21:55:00+00:00,KBNA,51.0
2015-04-03 22:05:00+00:00,KBNA,31.0
2015-04-03 22:18:00+00:00,KBNA,39.0
2015-04-03 22:30:00+00:00,KBNA,39.0
2015-04-07 20:00:00+00:00,KBNA,26.0
2015-04-08 12:20:00+00:00,KBNA,84.0
2015-04-08 19:00:00+00:00,KBNA,14.0
2015-04-09 12:20:00+00:00,KBNA,55.0
2015-04-09 17:25:00+00:00,KBNA,49.0
2015-04-10 19:00:00+00:00,KBNA,59.0
2015-04-10 19:31:00+00:00,KBNA,20.0
2015-04-12 00:15:00+00:00,KBNA,79.0
2015-04-12 11:40:00+00:00,KBNA,26.0
2015-04-13 10:30:00+00:00,KBNA,30.0
2015-04-13 11:20:00+00:00,KBNA,72.0
2015-04-13 19:25:00+00:00,KBNA,11.0
2015-04-13 22:36:00+00:00,KBNA,4.0
2015-04-15 17:50:00+00:00,KBNA,12.0
2015-04-15 23:45:00+00:00,KBNA,14.0
2015-04-16 00:00:00+00:00,KBNA,8.0
2015-04-16 00:40:00+00:00,KBNA,21.0
2015-04-16 11:25:00+00:00,KBNA,16.0
2015-04-16 12:45:00+00:00,KBNA,18.0
2015-04-16 12:50:00+00:00,KBNA,4.0
2015-04-16 12:50:00+00:00,KBNA,13.0
2015-04-16 12:50:00+00:00,KBNA,14.0
2015-04-16 12:55:00+00:00,KBNA,20.0
2015-04-17 00:25:00+00:00,KBNA,15.0
2015-04-17 00:45:00+00:00,KBNA,23.0
2015-04-17 23:40:00+00:00,KBNA,202.0
2015-04-20 11:45:00+00:00,KBNA,113.0
2015-04-24 20:55:00+00:00,KBNA,164.0
2015-04-24 21:25:00+00:00,KBNA,59.0
2015-04-24 22:36:00+00:00,KBNA,66.0
2015-04-24 23:40:00+00:00,KBNA,34.0
2015-04-25 00:40:00+00:00,KBNA,20.0
2015-04-27 19:25:00+00:00,KBNA,40.0
2015-04-27 22:36:00+00:00,KBNA,78.0
2015-04-27 23:40:00+00:00,KBNA,17.0
2015-05-02 12:35:00+00:00,KBNA,252.0
2015-05-06 10:00:00+00:00,KBNA,235.0
2015-05-06 11:20:00+00:00,KBNA,168.0
2015-05-06 12:45:00+00:00,KBNA,86.0
2015-05-08 20:45:00+00:00,KBNA,138.0
2015-05-08 23:50:00+00:00,KBNA,122.0
2015-05-09 02:05:00+00:00,KBNA,80.0
2015-05-10 14:15:00+00:00,KBNA,15.0
2015-05-10 14:30:00+00:00,KBNA,258.0
2015-05-10 22:05:00+00:00,KBNA,17.0
2015-05-11 12:50:00+00:00,KBNA,28.0
2015-05-11 16:16:00+00:00,KBNA,4.0
2015-05-15 16:37:00+00:00,KBNA,53.0
2015-05-17 18:26:00+00:00,KBNA,2.0
2015-05-18 16:50:00+00:00,KBNA,212.0
2015-05-18 22:30:00+00:00,KBNA,2.0
2015-05-19 02:05:00+00:00,KBNA,118.0
2015-05-19 14:45:00+00:00,KBNA,56.0
2015-05-19 20:45:00+00:00,KBNA,15.0
2015-05-21 16:37:00+00:00,KBNA,61.0
2015-05-23 20:40:00+00:00,KBNA,118.0
2015-05-23 20:55:00+00:00,KBNA,197.0
2015-05-25 19:25:00+00:00,KBNA,259.0
2015-05-25 23:40:00+00:00,KBNA,7.0
2015-05-26 18:55:00+00:00,KBNA,80.0
2015-05-26 19:25:00+00:00,KBNA,75.0
2015-05-26 19:31:00+00:00,KBNA,58.0
2015-05-26 21:10:00+00:00,KBNA,3.0
2015-05-26 21:45:00+00:00,KBNA,15.0
2015-05-26 23:45:00+00:00,KBNA,122.0
2015-05-27 00:00:00+00:00,KBNA,184.0
2015-05-27 18:05:00+00:00,KBNA,3.0
2015-05-27 18:20:00+00:00,KBNA,27.0
2015-05-27 18:55:00+00:00,KBNA,18.0
2015-05-27 19:31:00+00:00,KBNA,7.0
2015-05-28 00:40:00+00:00,KBNA,34.0
2015-05-30 17:50:00+00:00,KBNA,9.0
2015-05-30 17:50:00+00:00,KBNA,23.0
2015-05-30 19:31:00+00:00,KBNA,47.0
2015-05-30 20:45:00+00:00,KBNA,47.0
2015-05-31 20:45:00+00:00,KBNA,4.0
2015-06-02 00:45:00+00:00,KBNA,23.0
2015-06-02 19:25:00+00:00,KBNA,193.0
2015-06-03 13:50:00+00:00,KBNA,33.0
2015-06-08 02:15:00+00:00,KBNA,31.0
2015-06-08 18:30:00+00:00,KBNA,42.0
2015-06-08 19:55:00+00:00,KBNA,31.0
2015-06-08 20:40:00+00:00,KBNA,90.0
2015-06-08 20:50:00+00:00,KBNA,26.0
2015-06-08 21:06:00+00:00,KBNA,185.0
2015-06-08 21:20:00+00:00,KBNA,89.0
2015-06-08 21:26:00+00:00,KBNA,1.0
2015-06-08 22:31:00+00:00,KBNA,5.0
2015-06-08 22:35:00+00:00,KBNA,63.0
2015-06-08 23:05:00+00:00,KBNA,3.0
2015-06-08 23:05:00+00:00,KBNA,19.0
2015-06-08 23:35:00+00:00,KBNA,48.0
2015-06-09 01:40:00+00:00,KBNA,43.0
2015-06-09 02:15:00+00:00,KBNA,91.0
2015-06-09 12:45:00+00:00,KBNA,18.0
2015-06-09 20:05:00+00:00,KBNA,29.0
2015-06-09 21:06:00+00:00,KBNA,251.0
2015-06-09 21:20:00+00:00,KBNA,20.0
2015-06-09 22:31:00+00:00,KBNA,36.0
2015-06-09 23:41:00+00:00,KBNA,156.0
2015-06-11 02:15:00+00:00,KBNA,75.0
2015-06-11 20:43:00+00:00,KBNA,10.0
2015-06-12 00:35:00+00:00,KBNA,109.0
2015-06-13 22:12:00+00:00,KBNA,10.0
2015-06-13 23:30:00+00:00,KBNA,55.0
2015-06-14 01:50:00+00:00,KBNA,67.0
2015-06-15 19:26:00+00:00,KBNA,308.0
2015-06-15 19:55:00+00:00,KBNA,29.0
2015-06-15 22:50:00+00:00,KBNA,12.0
2015-06-16 19:23:00+00:00,KBNA,7.0
2015-06-16 22:12:00+00:00,KBNA,638.0
2015-06-18 11:15:00+00:00,KBNA,155.0
2015-06-18 11:20:00+00:00,KBNA,125.0
2015-06-18 18:30:00+00:00,KBNA,67.0
2015-06-18 19:23:00+00:00,KBNA,54.0
2015-06-18 20:43:00+00:00,KBNA,54.0
